"source","variable","sector","year","value","units"
"BB4CMIP","BC","Emissions BC Biomass Burning",1750,1.58325331339005,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1751,1.55715946521211,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1752,1.54732073785093,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1753,1.5537626802173,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1754,1.57999526048207,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1755,1.57861078164653,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1756,1.54669800004186,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1757,1.62462196714003,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1758,1.59606358675097,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1759,1.59151179006741,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1760,1.6008653459228,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1761,1.6092377555305,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1762,1.57217560535012,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1763,1.57646877137862,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1764,1.53993852589428,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1765,1.59107503697877,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1766,1.5761280568209,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1767,1.5771401655268,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1768,1.64692982293209,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1769,1.60037214892891,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1770,1.60111835608473,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1771,1.55675428327413,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1772,1.5378900965965,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1773,1.53856909969575,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1774,1.59580589092217,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1775,1.584892049,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1776,1.54210267637079,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1777,1.59529902488836,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1778,1.61810730656442,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1779,1.57467516583238,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1780,1.59652440308182,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1781,1.59381088704926,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1782,1.56289820231486,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1783,1.55113622840848,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1784,1.53914777368134,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1785,1.56243367471717,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1786,1.55181988489608,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1787,1.57644080794868,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1788,1.64362053377109,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1789,1.59406646157869,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1790,1.60075146257428,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1791,1.55514945634104,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1792,1.54442227703785,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1793,1.535647697,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1794,1.59638535392699,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1795,1.58504620697808,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1796,1.53507237068664,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1797,1.5944829649664,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1798,1.61416243132921,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1799,1.58601794070652,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1800,1.59368302381586,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1801,1.592784938299,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1802,1.57021601240971,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1803,1.54318077527671,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1804,1.55491866418098,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1805,1.56906232816123,"mtbc/yr"
"BB4CMIP","BC","Emissions BC Biomass Burning",1806,1.57171494932907,"mtbc/yr"
