# Mapping file for sectoral emisisons to Hector global total emissions,,,
variable,sector,hector_variable,source
BC,1A1a_Electricity-autoproducer,BC_emissions,CEDS
BC,1A1a_Electricity-public,BC_emissions,CEDS
BC,1A1a_Heat-production,BC_emissions,CEDS
BC,1A1bc_Other-transformation,BC_emissions,CEDS
BC,1A2a_Ind-Comb-Iron-steel,BC_emissions,CEDS
BC,1A2b_Ind-Comb-Non-ferrous-metals,BC_emissions,CEDS
BC,1A2c_Ind-Comb-Chemicals,BC_emissions,CEDS
BC,1A2d_Ind-Comb-Pulp-paper,BC_emissions,CEDS
BC,1A2e_Ind-Comb-Food-tobacco,BC_emissions,CEDS
BC,1A2f_Ind-Comb-Non-metalic-minerals,BC_emissions,CEDS
BC,1A2g_Ind-Comb-Construction,BC_emissions,CEDS
BC,1A2g_Ind-Comb-machinery,BC_emissions,CEDS
BC,1A2g_Ind-Comb-mining-quarying,BC_emissions,CEDS
BC,1A2g_Ind-Comb-other,BC_emissions,CEDS
BC,1A2g_Ind-Comb-textile-leather,BC_emissions,CEDS
BC,1A2g_Ind-Comb-transpequip,BC_emissions,CEDS
BC,1A2g_Ind-Comb-wood-products,BC_emissions,CEDS
BC,1A3ai_International-aviation,BC_emissions,CEDS
BC,1A3aii_Domestic-aviation,BC_emissions,CEDS
BC,1A3b_Road,BC_emissions,CEDS
BC,1A3c_Rail,BC_emissions,CEDS
BC,1A3di_International-shipping,BC_emissions,CEDS
BC,1A3di_Oil_Tanker_Loading,BC_emissions,CEDS
BC,1A3dii_Domestic-navigation,BC_emissions,CEDS
BC,1A3eii_Other-transp,BC_emissions,CEDS
BC,1A4a_Commercial-institutional,BC_emissions,CEDS
BC,1A4b_Residential,BC_emissions,CEDS
BC,1A4c_Agriculture-forestry-fishing,BC_emissions,CEDS
BC,1A5_Other-unspecified,BC_emissions,CEDS
BC,1B1_Fugitive-solid-fuels,BC_emissions,CEDS
BC,1B2_Fugitive-petr,BC_emissions,CEDS
