"","variable","year","value"
"1","ch4",1750,720.8548
"2","ch4",1751,722.08014
"3","ch4",1752,723.3311
"4","ch4",1753,723.84
"5","ch4",1754,724.0494
"6","ch4",1755,724.24023
"7","ch4",1756,724.3392
"8","ch4",1757,724.5808
"9","ch4",1758,725.4735
"10","ch4",1759,726.3022
"11","ch4",1760,727.24677
"12","ch4",1761,728.0718
"13","ch4",1762,728.85
"14","ch4",1763,729.2629
"15","ch4",1764,729.7133
"16","ch4",1765,730.0648
"17","ch4",1766,730.37
"18","ch4",1767,730.6503
"19","ch4",1768,731.20996
"20","ch4",1769,731.8393
"21","ch4",1770,732.4835
"22","ch4",1771,733.15466
"23","ch4",1772,733.85394
"24","ch4",1773,734.67255
"25","ch4",1774,735.03107
"26","ch4",1775,735.3224
"27","ch4",1776,735.69366
"28","ch4",1777,736.0626
"29","ch4",1778,736.388
"30","ch4",1779,737.3029
"31","ch4",1780,738.29706
"32","ch4",1781,739.3366
"33","ch4",1782,740.14734
"34","ch4",1783,741.00415
"35","ch4",1784,741.28613
"36","ch4",1785,741.5487
"37","ch4",1786,741.8229
"38","ch4",1787,742.1184
"39","ch4",1788,742.3667
"40","ch4",1789,742.6997
"41","ch4",1790,743.0447
"42","ch4",1791,743.3706
"43","ch4",1792,743.75854
"44","ch4",1793,744.14746
"45","ch4",1794,744.88696
"46","ch4",1795,745.463
"47","ch4",1796,746.1833
"48","ch4",1797,746.8853
"49","ch4",1798,747.50336
"50","ch4",1799,747.95856
"51","ch4",1800,748.6233
"52","ch4",1801,749.34814
"53","ch4",1802,750.0791
"54","ch4",1803,750.6937
"55","ch4",1804,751.64124
"56","ch4",1805,752.59863
"57","ch4",1806,753.5761
"58","ch4",1807,754.5919
"59","ch4",1808,755.64136
"60","ch4",1809,756.81067
"61","ch4",1810,757.95605
"62","ch4",1811,758.9457
"63","ch4",1812,759.9509
"64","ch4",1813,761.17487
"65","ch4",1814,762.6759
"66","ch4",1815,764.1777
"67","ch4",1816,765.74854
"68","ch4",1817,767.326
"69","ch4",1818,768.7917
"70","ch4",1819,770.2823
"71","ch4",1820,771.86884
"72","ch4",1821,773.51373
"73","ch4",1822,774.88586
"74","ch4",1823,776.10034
"75","ch4",1824,777.1873
"76","ch4",1825,778.1969
"77","ch4",1826,779.17554
"78","ch4",1827,780.0322
"79","ch4",1828,780.83936
"80","ch4",1829,781.69824
"81","ch4",1830,782.4866
"82","ch4",1831,783.23065
"83","ch4",1832,783.9886
"84","ch4",1833,784.86096
"85","ch4",1834,785.8822
"86","ch4",1835,786.9591
"87","ch4",1836,788.1029
"88","ch4",1837,788.83514
"89","ch4",1838,789.45416
"90","ch4",1839,790.0118
"91","ch4",1840,790.1644
"92","ch4",1841,790.51373
"93","ch4",1842,791.1774
"94","ch4",1843,792.03973
"95","ch4",1844,793.18896
"96","ch4",1845,794.86945
"97","ch4",1846,795.9599
"98","ch4",1847,796.9034
"99","ch4",1848,797.5085
"100","ch4",1849,798.2651
"101","ch4",1850,798.79926
"102","ch4",1851,799.1343
"103","ch4",1852,799.6845
"104","ch4",1853,800.4311
"105","ch4",1854,801.3929
"106","ch4",1855,802.77905
"107","ch4",1856,804.3958
"108","ch4",1857,805.9413
"109","ch4",1858,807.847
"110","ch4",1859,809.9102
"111","ch4",1860,812.11566
"112","ch4",1861,814.6943
"113","ch4",1862,817.00903
"114","ch4",1863,819.82996
"115","ch4",1864,822.8782
"116","ch4",1865,825.91797
"117","ch4",1866,829.27045
"118","ch4",1867,832.4238
"119","ch4",1868,834.8475
"120","ch4",1869,836.6992
"121","ch4",1870,838.5808
"122","ch4",1871,840.6078
"123","ch4",1872,842.38947
"124","ch4",1873,844.18463
"125","ch4",1874,845.91187
"126","ch4",1875,847.45056
"127","ch4",1876,848.9568
"128","ch4",1877,850.3754
"129","ch4",1878,851.6116
"130","ch4",1879,852.83856
"131","ch4",1880,854.5763
"132","ch4",1881,856.4181
"133","ch4",1882,858.177
"134","ch4",1883,860.12585
"135","ch4",1884,862.29846
"136","ch4",1885,864.77814
"137","ch4",1886,867.3069
"138","ch4",1887,869.9095
"139","ch4",1888,873.2229
"140","ch4",1889,877.4022
"141","ch4",1890,880.21906
"142","ch4",1891,882.7593
"143","ch4",1892,885.5133
"144","ch4",1893,888.51154
"145","ch4",1894,892.0517
"146","ch4",1895,895.6895
"147","ch4",1896,899.27124
"148","ch4",1897,901.76434
"149","ch4",1898,903.6866
"150","ch4",1899,905.5435
"151","ch4",1900,907.6626
"152","ch4",1901,909.70807
