variable,year,value
ch4,1750,720.8548
ch4,1751,722.08014
ch4,1752,723.3311
ch4,1753,723.84
ch4,1754,724.0494
ch4,1755,724.24023
ch4,1756,724.3392
ch4,1757,724.5808
ch4,1758,725.4735
ch4,1759,726.3022
ch4,1760,727.24677
ch4,1761,728.0718
ch4,1762,728.85
ch4,1763,729.2629
ch4,1764,729.7133
ch4,1765,730.0648
ch4,1766,730.37
ch4,1767,730.6503
ch4,1768,731.20996
ch4,1769,731.8393
ch4,1770,732.4835
ch4,1771,733.15466
ch4,1772,733.85394
ch4,1773,734.67255
ch4,1774,735.03107
ch4,1775,735.3224
ch4,1776,735.69366
ch4,1777,736.0626
ch4,1778,736.388
ch4,1779,737.3029
ch4,1780,738.29706
ch4,1781,739.3366
ch4,1782,740.14734
ch4,1783,741.00415
ch4,1784,741.28613
ch4,1785,741.5487
ch4,1786,741.8229
ch4,1787,742.1184
ch4,1788,742.3667
ch4,1789,742.6997
ch4,1790,743.0447
ch4,1791,743.3706
ch4,1792,743.75854
ch4,1793,744.14746
ch4,1794,744.88696
ch4,1795,745.463
ch4,1796,746.1833
ch4,1797,746.8853
ch4,1798,747.50336
ch4,1799,747.95856
ch4,1800,748.6233
ch4,1801,749.34814
ch4,1802,750.0791
ch4,1803,750.6937
ch4,1804,751.64124
ch4,1805,752.59863
ch4,1806,753.5761
ch4,1807,754.5919
ch4,1808,755.64136
ch4,1809,756.81067
ch4,1810,757.95605
ch4,1811,758.9457
ch4,1812,759.9509
ch4,1813,761.17487
ch4,1814,762.6759
ch4,1815,764.1777
ch4,1816,765.74854
ch4,1817,767.326
ch4,1818,768.7917
ch4,1819,770.2823
ch4,1820,771.86884
ch4,1821,773.51373
ch4,1822,774.88586
ch4,1823,776.10034
ch4,1824,777.1873
ch4,1825,778.1969
ch4,1826,779.17554
ch4,1827,780.0322
ch4,1828,780.83936
ch4,1829,781.69824
ch4,1830,782.4866
ch4,1831,783.23065
ch4,1832,783.9886
ch4,1833,784.86096
ch4,1834,785.8822
ch4,1835,786.9591
ch4,1836,788.1029
ch4,1837,788.83514
ch4,1838,789.45416
ch4,1839,790.0118
ch4,1840,790.1644
ch4,1841,790.51373
ch4,1842,791.1774
ch4,1843,792.03973
ch4,1844,793.18896
ch4,1845,794.86945
ch4,1846,795.9599
ch4,1847,796.9034
ch4,1848,797.5085
ch4,1849,798.2651
ch4,1850,798.79926
ch4,1851,799.1343
ch4,1852,799.6845
ch4,1853,800.4311
ch4,1854,801.3929
ch4,1855,802.77905
ch4,1856,804.3958
ch4,1857,805.9413
ch4,1858,807.847
ch4,1859,809.9102
ch4,1860,812.11566
ch4,1861,814.6943
ch4,1862,817.00903
ch4,1863,819.82996
ch4,1864,822.8782
ch4,1865,825.91797
ch4,1866,829.27045
ch4,1867,832.4238
ch4,1868,834.8475
ch4,1869,836.6992
ch4,1870,838.5808
ch4,1871,840.6078
ch4,1872,842.38947
ch4,1873,844.18463
ch4,1874,845.91187
ch4,1875,847.45056
ch4,1876,848.9568
ch4,1877,850.3754
ch4,1878,851.6116
ch4,1879,852.83856
ch4,1880,854.5763
ch4,1881,856.4181
ch4,1882,858.177
ch4,1883,860.12585
ch4,1884,862.29846
ch4,1885,864.77814
ch4,1886,867.3069
ch4,1887,869.9095
ch4,1888,873.2229
ch4,1889,877.4022
ch4,1890,880.21906
ch4,1891,882.7593
ch4,1892,885.5133
ch4,1893,888.51154
ch4,1894,892.0517
ch4,1895,895.6895
ch4,1896,899.27124
ch4,1897,901.76434
ch4,1898,903.6866
ch4,1899,905.5435
ch4,1900,907.6626
ch4,1901,909.70807
ch4,1902,913.1248
ch4,1903,917.1863
ch4,1904,922.413
ch4,1905,927.75964
ch4,1906,933.3427
ch4,1907,937.03625
ch4,1908,941.1984
ch4,1909,946.34125
ch4,1910,951.75946
ch4,1911,957.9007
ch4,1912,964.29584
ch4,1913,970.5161
ch4,1914,974.45264
ch4,1915,978.70337
ch4,1916,983.43506
ch4,1917,988.7853
ch4,1918,994.25574
ch4,1919,998.3229
ch4,1920,1003.78766
ch4,1921,1009.85315
ch4,1922,1014.8926
ch4,1923,1020.6547
ch4,1924,1026.7754
ch4,1925,1031.654
ch4,1926,1037.513
ch4,1927,1042.0635
ch4,1928,1046.2665
ch4,1929,1050.36
ch4,1930,1055.4187
ch4,1931,1059.6307
ch4,1932,1063.9447
ch4,1933,1068.3408
ch4,1934,1072.9014
ch4,1935,1077.5043
ch4,1936,1082.725
ch4,1937,1087.3102
ch4,1938,1091.9843
ch4,1939,1095.9309
ch4,1940,1100.0146
ch4,1941,1105.2523
ch4,1942,1110.287
ch4,1943,1115.0511
ch4,1944,1122.5753
ch4,1945,1130.4346
ch4,1946,1138.499
ch4,1947,1147.0487
ch4,1948,1153.7858
ch4,1949,1160.2513
ch4,1950,1165.0159
ch4,1951,1170.0625
ch4,1952,1177.2667
ch4,1953,1186.202
ch4,1954,1196.9535
ch4,1955,1208.8506
ch4,1956,1222.6984
ch4,1957,1235.1564
ch4,1958,1244.6722
ch4,1959,1252.3525
ch4,1960,1262.9752
ch4,1961,1274.44
ch4,1962,1288.2925
ch4,1963,1302.7885
ch4,1964,1316.2968
ch4,1965,1331.4832
ch4,1966,1346.6862
ch4,1967,1360.6283
ch4,1968,1375.7056
ch4,1969,1395.4908
ch4,1970,1412.8004
ch4,1971,1430.5983
ch4,1972,1447.787
ch4,1973,1462.3563
ch4,1974,1479.2399
ch4,1975,1496.2742
ch4,1976,1512.9558
ch4,1977,1529.7163
ch4,1978,1547.4382
ch4,1979,1565.2207
ch4,1980,1583.9426
ch4,1981,1601.0251
ch4,1982,1616.9751
ch4,1983,1633.2029
ch4,1984,1646.8208
ch4,1985,1659.9908
ch4,1986,1672.9498
ch4,1987,1686.08
ch4,1988,1698.8643
ch4,1989,1708.8883
ch4,1990,1719.9836
ch4,1991,1732.0286
ch4,1992,1744.0833
ch4,1993,1746.2545
ch4,1994,1749.6687
ch4,1995,1757.259
ch4,1996,1758.647
ch4,1997,1762.4814
ch4,1998,1772.2845
ch4,1999,1779.5907
ch4,2000,1778.9182
ch4,2001,1779.1799
ch4,2002,1781.4246
ch4,2003,1787.357
ch4,2004,1789.1829
ch4,2005,1786.484
ch4,2006,1786.2482
ch4,2007,1790.932
ch4,2008,1800.4309
ch4,2009,1804.3069
ch4,2010,1809.6775
ch4,2011,1813.6029
ch4,2012,1818.2589
ch4,2013,1824.6205
ch4,2014,1834.5485
ch4,2015,1845.9594
ch4,2016,1852.3977
ch4,2017,1859.3855
ch4,2018,1869.5219
ch4,2019,1877.2648
ch4,2020,1889.4786
ch4,2021,1906.1812
ch4,2022,1922.0865
