variable,year,value
co2,1750,278.00745
co2,1751,278.0183
co2,1752,278.02832
co2,1753,278.03833
co2,1754,278.05832
co2,1755,278.0783
co2,1756,278.08838
co2,1757,278.0984
co2,1758,278.1084
co2,1759,278.11838
co2,1760,278.1384
co2,1761,278.15848
co2,1762,278.18848
co2,1763,278.2285
co2,1764,278.27847
co2,1765,278.33847
co2,1766,278.4086
co2,1767,278.4786
co2,1768,278.5586
co2,1769,278.6386
co2,1770,278.7286
co2,1771,278.82874
co2,1772,278.92874
co2,1773,279.03873
co2,1774,279.15875
co2,1775,279.27875
co2,1776,279.39886
co2,1777,279.53888
co2,1778,279.66888
co2,1779,279.81888
co2,1780,279.9689
co2,1781,280.1291
co2,1782,280.2891
co2,1783,280.4491
co2,1784,280.5891
co2,1785,280.7291
co2,1786,280.85934
co2,1787,280.96936
co2,1788,281.07935
co2,1789,281.17935
co2,1790,281.26938
co2,1791,281.3596
co2,1792,281.42966
co2,1793,281.49966
co2,1794,281.56967
co2,1795,281.63968
co2,1796,281.7198
co2,1797,281.79993
co2,1798,281.89005
co2,1799,281.99017
co2,1800,282.09036
co2,1801,282.19034
co2,1802,282.29108
co2,1803,282.38132
co2,1804,282.4714
co2,1805,282.5615
co2,1806,282.63165
co2,1807,282.71185
co2,1808,282.78168
co2,1809,282.84167
co2,1810,282.9117
co2,1811,282.97192
co2,1812,283.03207
co2,1813,283.0921
co2,1814,283.14218
co2,1815,283.20233
co2,1816,283.26273
co2,1817,283.31293
co2,1818,283.37292
co2,1819,283.43295
co2,1820,283.48303
co2,1821,283.5331
co2,1822,283.5733
co2,1823,283.6036
co2,1824,283.6238
co2,1825,283.64404
co2,1826,283.65408
co2,1827,283.66455
co2,1828,283.65463
co2,1829,283.6446
co2,1830,283.6363
co2,1831,283.60583
co2,1832,283.58588
co2,1833,283.55606
co2,1834,283.52625
co2,1835,283.49646
co2,1836,283.4679
co2,1837,283.4379
co2,1838,283.41824
co2,1839,283.39862
co2,1840,283.39935
co2,1841,283.41974
co2,1842,283.45044
co2,1843,283.50076
co2,1844,283.57162
co2,1845,283.67303
co2,1846,283.7834
co2,1847,283.90488
co2,1848,284.03497
co2,1849,284.16592
co2,1850,284.29727
co2,1851,284.4198
co2,1852,284.553
co2,1853,284.67633
co2,1854,284.80246
co2,1855,284.91525
co2,1856,285.0393
co2,1857,285.1519
co2,1858,285.27463
co2,1859,285.39856
co2,1860,285.52863
co2,1861,285.6675
co2,1862,285.8053
co2,1863,285.94473
co2,1864,286.0948
co2,1865,286.25443
co2,1866,286.4129
co2,1867,286.58334
co2,1868,286.76178
co2,1869,286.94193
co2,1870,287.1202
co2,1871,287.31073
co2,1872,287.49402
co2,1873,287.6851
co2,1874,287.85782
co2,1875,288.04044
co2,1876,288.22864
co2,1877,288.41708
co2,1878,288.6245
co2,1879,288.84677
co2,1880,289.08435
co2,1881,289.344
co2,1882,289.62625
co2,1883,289.91943
co2,1884,290.21768
co2,1885,290.52563
co2,1886,290.85428
co2,1887,291.1866
co2,1888,291.54547
co2,1889,291.8928
co2,1890,292.25064
co2,1891,292.60403
co2,1892,292.9522
co2,1893,293.29785
co2,1894,293.62997
co2,1895,293.96564
co2,1896,294.29776
co2,1897,294.62247
co2,1898,294.94858
co2,1899,295.2918
co2,1900,295.62943
co2,1901,295.96298
co2,1902,296.2952
co2,1903,296.6414
co2,1904,296.97116
co2,1905,297.3131
co2,1906,297.65298
co2,1907,298.00452
co2,1908,298.3119
co2,1909,298.6394
co2,1910,298.97116
co2,1911,299.29382
co2,1912,299.63647
co2,1913,300.01077
co2,1914,300.33453
co2,1915,300.70645
co2,1916,301.11765
co2,1917,301.5375
co2,1918,301.95987
co2,1919,302.34058
co2,1920,302.8176
co2,1921,303.19128
co2,1922,303.60464
co2,1923,304.0356
co2,1924,304.40506
co2,1925,304.7461
co2,1926,305.06744
co2,1927,305.43045
co2,1928,305.7359
co2,1929,306.08398
co2,1930,306.3782
co2,1931,306.66232
co2,1932,306.97437
co2,1933,307.35864
co2,1934,307.76636
co2,1935,308.19263
co2,1936,308.64774
co2,1937,309.1062
co2,1938,309.50693
co2,1939,309.9403
co2,1940,310.35413
co2,1941,310.71228
co2,1942,311.03076
co2,1943,311.33582
co2,1944,311.5977
co2,1945,311.74896
co2,1946,312.0315
co2,1947,312.30106
co2,1948,312.55502
co2,1949,312.78305
co2,1950,313.07913
co2,1951,313.4099
co2,1952,313.72485
co2,1953,314.06958
co2,1954,314.43265
co2,1955,314.87228
co2,1956,315.31595
co2,1957,315.75888
co2,1958,316.2324
co2,1959,316.74454
co2,1960,317.50543
co2,1961,318.2684
co2,1962,319.0376
co2,1963,319.81918
co2,1964,320.62097
co2,1965,321.45096
co2,1966,322.31555
co2,1967,323.21872
co2,1968,324.1639
co2,1969,325.1533
co2,1970,326.18716
co2,1971,327.26596
co2,1972,328.39044
co2,1973,329.56064
co2,1974,330.77502
co2,1975,332.0342
co2,1976,333.339
co2,1977,334.68808
co2,1978,336.07706
co2,1979,337.49963
co2,1980,338.94904
co2,1981,340.41843
co2,1982,340.88983
co2,1983,342.39886
co2,1984,344.06265
co2,1985,345.51846
co2,1986,347.00122
co2,1987,348.77158
co2,1988,351.27545
co2,1989,352.8699
co2,1990,354.0915
co2,1991,355.40912
co2,1992,356.30032
co2,1993,357.01663
co2,1994,358.37006
co2,1995,360.33215
co2,1996,362.12592
co2,1997,363.3535
co2,1998,366.07816
co2,1999,367.93414
co2,2000,369.2326
co2,2001,370.80002
co2,2002,372.9081
co2,2003,375.4381
co2,2004,377.0999
co2,2005,379.01913
co2,2006,381.16034
co2,2007,382.763
co2,2008,384.92792
co2,2009,386.48972
co2,2010,388.90118
co2,2011,391.09216
co2,2012,393.24405
co2,2013,395.94574
co2,2014,397.83267
co2,2015,400.13632
co2,2016,403.24927
co2,2017,405.27396
co2,2018,407.76276
co2,2019,410.3672
co2,2020,412.8737
co2,2021,415.12598
co2,2022,417.32025
