variable,year,value
n2o,1750,266.57
n2o,1751,266.6
n2o,1752,266.63
n2o,1753,266.67
n2o,1754,266.7
n2o,1755,266.73
n2o,1756,266.76
n2o,1757,266.79
n2o,1758,266.82
n2o,1759,266.85
n2o,1760,266.88
n2o,1761,266.91
n2o,1762,266.94
n2o,1763,266.97
n2o,1764,267.0
n2o,1765,267.03
n2o,1766,267.06
n2o,1767,267.09
n2o,1768,267.12
n2o,1769,267.15
n2o,1770,267.18
n2o,1771,267.21
n2o,1772,267.25
n2o,1773,267.28
n2o,1774,267.31
n2o,1775,267.34
n2o,1776,267.37
n2o,1777,267.41
n2o,1778,267.44
n2o,1779,267.47
n2o,1780,267.5
n2o,1781,267.54
n2o,1782,267.57
n2o,1783,267.61
n2o,1784,267.64
n2o,1785,267.68
n2o,1786,267.71
n2o,1787,267.75
n2o,1788,267.78
n2o,1789,267.82
n2o,1790,267.85
n2o,1791,267.89
n2o,1792,267.93
n2o,1793,267.97
n2o,1794,268.0
n2o,1795,268.04
n2o,1796,268.08
n2o,1797,268.12
n2o,1798,268.16
n2o,1799,268.2
n2o,1800,268.24
n2o,1801,268.28
n2o,1802,268.33
n2o,1803,268.37
n2o,1804,268.41
n2o,1805,268.45
n2o,1806,268.5
n2o,1807,268.54
n2o,1808,268.59
n2o,1809,268.63
n2o,1810,268.68
n2o,1811,268.73
n2o,1812,268.78
n2o,1813,268.82
n2o,1814,268.87
n2o,1815,268.92
n2o,1816,268.97
n2o,1817,269.03
n2o,1818,269.08
n2o,1819,269.13
n2o,1820,269.18
n2o,1821,269.24
n2o,1822,269.29
n2o,1823,269.35
n2o,1824,269.41
n2o,1825,269.46
n2o,1826,269.52
n2o,1827,269.58
n2o,1828,269.64
n2o,1829,269.7
n2o,1830,269.76
n2o,1831,269.83
n2o,1832,269.89
n2o,1833,269.96
n2o,1834,270.02
n2o,1835,270.09
n2o,1836,270.16
n2o,1837,270.22
n2o,1838,270.29
n2o,1839,270.36
n2o,1840,270.37
n2o,1841,270.48
n2o,1842,270.6
n2o,1843,270.72
n2o,1844,270.84
n2o,1845,270.97
n2o,1846,271.09
n2o,1847,271.21
n2o,1848,271.33
n2o,1849,271.45
n2o,1850,271.57
n2o,1851,271.69
n2o,1852,271.82
n2o,1853,271.94
n2o,1854,272.06
n2o,1855,272.19
n2o,1856,272.31
n2o,1857,272.43
n2o,1858,272.56
n2o,1859,272.68
n2o,1860,272.8
n2o,1861,272.93
n2o,1862,273.04
n2o,1863,273.16
n2o,1864,273.27
n2o,1865,273.38
n2o,1866,273.49
n2o,1867,273.6
n2o,1868,273.7
n2o,1869,273.8
n2o,1870,273.89
n2o,1871,273.99
n2o,1872,274.08
n2o,1873,274.18
n2o,1874,274.27
n2o,1875,274.37
n2o,1876,274.47
n2o,1877,274.57
n2o,1878,274.67
n2o,1879,274.78
n2o,1880,274.89
n2o,1881,275.0
n2o,1882,275.13
n2o,1883,275.25
n2o,1884,275.39
n2o,1885,275.52
n2o,1886,275.66
n2o,1887,275.81
n2o,1888,275.95
n2o,1889,276.11
n2o,1890,276.2775
n2o,1891,276.455
n2o,1892,276.6425
n2o,1893,276.83
n2o,1894,277.0175
n2o,1895,277.21497
n2o,1896,277.42245
n2o,1897,277.62994
n2o,1898,277.85745
n2o,1899,278.08496
n2o,1900,278.32245
n2o,1901,278.56995
n2o,1902,278.81744
n2o,1903,279.07492
n2o,1904,279.3424
n2o,1905,279.60992
n2o,1906,279.88742
n2o,1907,280.16492
n2o,1908,280.4524
n2o,1909,280.7399
n2o,1910,281.02737
n2o,1911,281.3249
n2o,1912,281.62238
n2o,1913,281.91986
n2o,1914,282.21738
n2o,1915,282.51486
n2o,1916,282.80237
n2o,1917,283.09985
n2o,1918,283.38736
n2o,1919,283.67484
n2o,1920,283.95233
n2o,1921,284.22983
n2o,1922,284.4973
n2o,1923,284.76483
n2o,1924,285.0223
n2o,1925,285.27982
n2o,1926,285.5273
n2o,1927,285.7748
n2o,1928,286.02228
n2o,1929,286.2598
n2o,1930,286.48727
n2o,1931,286.72476
n2o,1932,286.95227
n2o,1933,287.16977
n2o,1934,287.38727
n2o,1935,287.60477
n2o,1936,287.82227
n2o,1937,288.02975
n2o,1938,288.23724
n2o,1939,288.43472
n2o,1940,288.63223
n2o,1941,288.8297
n2o,1942,289.02722
n2o,1943,289.21472
n2o,1944,289.40222
n2o,1945,289.5897
n2o,1946,289.7772
n2o,1947,289.9747
n2o,1948,290.1622
n2o,1949,290.35968
n2o,1950,290.56717
n2o,1951,290.76468
n2o,1952,290.98218
n2o,1953,291.19965
n2o,1954,291.42715
n2o,1955,291.65466
n2o,1956,291.89215
n2o,1957,292.12964
n2o,1958,292.38715
n2o,1959,292.64462
n2o,1960,292.9121
n2o,1961,293.1896
n2o,1962,293.48712
n2o,1963,293.79462
n2o,1964,294.1221
n2o,1965,294.4596
n2o,1966,294.8071
n2o,1967,295.1846
n2o,1968,295.57208
n2o,1969,295.98956
n2o,1970,296.41708
n2o,1971,296.87457
n2o,1972,297.34207
n2o,1973,297.83957
n2o,1974,298.34705
n2o,1975,298.88455
n2o,1976,299.43204
n2o,1977,299.98953
n2o,1978,300.56702
n2o,1979,301.16452
n2o,1980,301.772
n2o,1981,302.38953
n2o,1982,303.017
n2o,1983,303.6645
n2o,1984,304.31198
n2o,1985,304.9895
n2o,1986,305.667
n2o,1987,306.36447
n2o,1988,307.07196
n2o,1989,307.78946
n2o,1990,308.85883
n2o,1991,309.57324
n2o,1992,310.10666
n2o,1993,310.52222
n2o,1994,311.06284
n2o,1995,311.50156
n2o,1996,312.22943
n2o,1997,312.99384
n2o,1998,313.6924
n2o,1999,314.6413
n2o,2000,315.70068
n2o,2001,316.4348
n2o,2002,317.0646
n2o,2003,317.72534
n2o,2004,318.3673
n2o,2005,319.07037
n2o,2006,319.9035
n2o,2007,320.6853
n2o,2008,321.6385
n2o,2009,322.34692
n2o,2010,323.21054
n2o,2011,324.19006
n2o,2012,325.0818
n2o,2013,326.0443
n2o,2014,327.1559
n2o,2015,328.20212
n2o,2016,328.97482
n2o,2017,329.8621
n2o,2018,330.9976
n2o,2019,331.91388
n2o,2020,333.08655
n2o,2021,334.36472
n2o,2022,335.69165
