; TODO add documenation
; commit 1a48da31925b0dd
; date Tue Nov 11 12:03:20 2025
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1745,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,215.313403572326,0,0,0,0,9.311052401753347,0,0,0.007723273,0,0
1746,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,185.96994757232594,0,0,0,0,0,0,0,0.007723273,0,0
1747,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,212.7899269381269,0,0,0,0,0,0,0,0.007723273,0,0
1748,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,212.7899269381269,0,0,0,0,0,0,0,0.007723273,0,0
1749,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,212.7899269381269,0,0,0,0,1.7623521542349567,0,0,0.007723273,0,0
1750,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,212.7899269381269,0,0,0,0,9.032512454243593,0,0,0.007723273,0,0
1751,0.024856862,0,0,0,0,0,105.1072,0,4276.7685,216.49089555263748,0,0,0,0,9.183752801119152,-2.29457254754928e-4,0.185756746051751,0.007723273,0,0
1752,0.024856862,0,0,0,0,0,105.12502,0,4277.7049,217.06233388494803,0,0,0,0,9.188054946699642,-4.58914509509855e-4,0.185760471582431,0.007723273,0,0
1753,0.024856862,0,0,0,0,0,105.10373,0,4276.586,214.98649888539228,0,0,0,0,9.234770439651813,-6.88371764264782e-4,0.18576171690695,0.007723273,0,0
