scenario,year,variable,units,value,source
ssp119,2021-2040,global_tas,degC rel. 1995-2014,0.58,CICERO
ssp119,2041-2060,global_tas,degC rel. 1995-2014,0.65,CICERO
ssp119,2081-2100,global_tas,degC rel. 1995-2014,0.42,CICERO
ssp126,2021-2040,global_tas,degC rel. 1995-2014,0.6,CICERO
ssp126,2041-2060,global_tas,degC rel. 1995-2014,0.83,CICERO
ssp126,2081-2100,global_tas,degC rel. 1995-2014,0.78,CICERO
ssp245,2021-2040,global_tas,degC rel. 1995-2014,0.63,CICERO
ssp245,2041-2060,global_tas,degC rel. 1995-2014,1.08,CICERO
ssp245,2081-2100,global_tas,degC rel. 1995-2014,1.63,CICERO
ssp370,2021-2040,global_tas,degC rel. 1995-2014,0.64,CICERO
ssp370,2041-2060,global_tas,degC rel. 1995-2014,1.33,CICERO
ssp370,2081-2100,global_tas,degC rel. 1995-2014,2.55,CICERO
ssp585,2021-2040,global_tas,degC rel. 1995-2014,0.71,CICERO
ssp585,2041-2060,global_tas,degC rel. 1995-2014,1.42,CICERO
ssp585,2081-2100,global_tas,degC rel. 1995-2014,3.24,CICERO
historical,2019,wmghg RF,W/m2,3.14,CICERO
historical,2019,RF_CH4,W/m2,0.56,CICERO
historical,2005-15,total aerosol RF,W/m2,-0.82,CICERO
historical,1971-2018,OHC,ZJ,288,CICERO
historical,1995-2014,hist. warming,degC,0.85,CICERO
NA,NA,TCR,NA,1.71,CICERO
NA,NA,TCRE,NA,NA,CICERO
ssp119,2021-2040,global_tas,degC rel. 1995-2014,0.61,FaIRv1.6.2
ssp119,2041-2060,global_tas,degC rel. 1995-2014,0.66,FaIRv1.6.2
ssp119,2081-2100,global_tas,degC rel. 1995-2014,0.48,FaIRv1.6.2
ssp126,2021-2040,global_tas,degC rel. 1995-2014,0.64,FaIRv1.6.2
ssp126,2041-2060,global_tas,degC rel. 1995-2014,0.86,FaIRv1.6.2
ssp126,2081-2100,global_tas,degC rel. 1995-2014,0.84,FaIRv1.6.2
ssp245,2021-2040,global_tas,degC rel. 1995-2014,0.65,FaIRv1.6.2
ssp245,2041-2060,global_tas,degC rel. 1995-2014,1.11,FaIRv1.6.2
ssp245,2081-2100,global_tas,degC rel. 1995-2014,1.75,FaIRv1.6.2
ssp370,2021-2040,global_tas,degC rel. 1995-2014,0.68,FaIRv1.6.2
ssp370,2041-2060,global_tas,degC rel. 1995-2014,1.28,FaIRv1.6.2
ssp370,2081-2100,global_tas,degC rel. 1995-2014,2.72,FaIRv1.6.2
ssp585,2021-2040,global_tas,degC rel. 1995-2014,0.77,FaIRv1.6.2
ssp585,2041-2060,global_tas,degC rel. 1995-2014,1.55,FaIRv1.6.2
ssp585,2081-2100,global_tas,degC rel. 1995-2014,3.5,FaIRv1.6.2
historical,2019,wmghg RF,W/m2,3.38,FaIRv1.6.2
historical,2019,RF_CH4,W/m2,0.56,FaIRv1.6.2
historical,2005-15,total aerosol RF,W/m2,-1.15,FaIRv1.6.2
historical,1971-2018,OHC,ZJ,381,FaIRv1.6.2
historical,1995-2014,hist. warming,degC,0.87,FaIRv1.6.2
NA,NA,TCR,NA,1.81,FaIRv1.6.2
NA,NA,TCRE,NA,1.53,FaIRv1.6.2
ssp119,2021-2040,global_tas,degC rel. 1995-2014,0.61,MAGICC7
ssp119,2041-2060,global_tas,degC rel. 1995-2014,0.71,MAGICC7
ssp119,2081-2100,global_tas,degC rel. 1995-2014,0.52,MAGICC7
ssp126,2021-2040,global_tas,degC rel. 1995-2014,0.62,MAGICC7
ssp126,2041-2060,global_tas,degC rel. 1995-2014,0.89,MAGICC7
ssp126,2081-2100,global_tas,degC rel. 1995-2014,0.89,MAGICC7
ssp245,2021-2040,global_tas,degC rel. 1995-2014,0.64,MAGICC7
ssp245,2041-2060,global_tas,degC rel. 1995-2014,1.13,MAGICC7
ssp245,2081-2100,global_tas,degC rel. 1995-2014,1.82,MAGICC7
ssp370,2021-2040,global_tas,degC rel. 1995-2014,0.68,MAGICC7
ssp370,2041-2060,global_tas,degC rel. 1995-2014,1.33,MAGICC7
ssp370,2081-2100,global_tas,degC rel. 1995-2014,2.86,MAGICC7
ssp585,2021-2040,global_tas,degC rel. 1995-2014,0.77,MAGICC7
ssp585,2041-2060,global_tas,degC rel. 1995-2014,1.57,MAGICC7
ssp585,2081-2100,global_tas,degC rel. 1995-2014,3.65,MAGICC7
historical,2019,wmghg RF,W/m2,3.35,MAGICC7
historical,2019,RF_CH4,W/m2,0.54,MAGICC7
historical,2005-15,total aerosol RF,W/m2,-1.2,MAGICC7
historical,1971-2018,OHC,ZJ,382,MAGICC7
historical,1995-2014,hist. warming,degC,0.86,MAGICC7
NA,NA,TCR,NA,1.88,MAGICC7
NA,NA,TCRE,NA,1.73,MAGICC7
ssp119,2021-2040,global_tas,degC rel. 1995-2014,0.55,OSCARv3.1.1
ssp119,2041-2060,global_tas,degC rel. 1995-2014,0.65,OSCARv3.1.1
ssp119,2081-2100,global_tas,degC rel. 1995-2014,0.51,OSCARv3.1.1
ssp126,2021-2040,global_tas,degC rel. 1995-2014,0.57,OSCARv3.1.1
ssp126,2041-2060,global_tas,degC rel. 1995-2014,0.82,OSCARv3.1.1
ssp126,2081-2100,global_tas,degC rel. 1995-2014,0.82,OSCARv3.1.1
ssp245,2021-2040,global_tas,degC rel. 1995-2014,0.57,OSCARv3.1.1
ssp245,2041-2060,global_tas,degC rel. 1995-2014,1.03,OSCARv3.1.1
ssp245,2081-2100,global_tas,degC rel. 1995-2014,1.74,OSCARv3.1.1
ssp370,2021-2040,global_tas,degC rel. 1995-2014,0.57,OSCARv3.1.1
ssp370,2041-2060,global_tas,degC rel. 1995-2014,1.17,OSCARv3.1.1
ssp370,2081-2100,global_tas,degC rel. 1995-2014,2.59,OSCARv3.1.1
ssp585,2021-2040,global_tas,degC rel. 1995-2014,0.66,OSCARv3.1.1
ssp585,2041-2060,global_tas,degC rel. 1995-2014,1.44,OSCARv3.1.1
ssp585,2081-2100,global_tas,degC rel. 1995-2014,3.35,OSCARv3.1.1
historical,2019,wmghg RF,W/m2,3.42,OSCARv3.1.1
historical,2019,RF_CH4,W/m2,0.54,OSCARv3.1.1
historical,2005-15,total aerosol RF,W/m2,-1.11,OSCARv3.1.1
historical,1971-2018,OHC,ZJ,243,OSCARv3.1.1
historical,1995-2014,hist. warming,degC,0.78,OSCARv3.1.1
NA,NA,TCR,NA,1.82,OSCARv3.1.1
NA,NA,TCRE,NA,1.52,OSCARv3.1.1
