"scenario","year","variable","value","units"
"default hector",1750,"BC_emissions",2.097770755,"Tg"
"default hector",1751,"BC_emissions",2.072925926,"Tg"
"default hector",1752,"BC_emissions",2.064311933,"Tg"
"default hector",1753,"BC_emissions",2.071950564,"Tg"
"default hector",1754,"BC_emissions",2.099349783,"Tg"
"default hector",1755,"BC_emissions",2.099173165,"Tg"
"default hector",1756,"BC_emissions",2.068915407,"Tg"
"default hector",1757,"BC_emissions",2.147923676,"Tg"
"default hector",1758,"BC_emissions",2.12061141,"Tg"
"default hector",1759,"BC_emissions",2.117267431,"Tg"
"default hector",1760,"BC_emissions",2.127804105,"Tg"
"default hector",1761,"BC_emissions",2.137756989,"Tg"
"default hector",1762,"BC_emissions",2.101748109,"Tg"
"default hector",1763,"BC_emissions",2.107029758,"Tg"
"default hector",1764,"BC_emissions",2.071549227,"Tg"
"default hector",1765,"BC_emissions",2.123600022,"Tg"
"default hector",1766,"BC_emissions",2.110459977,"Tg"
"default hector",1767,"BC_emissions",2.112460701,"Tg"
"default hector",1768,"BC_emissions",2.18313204,"Tg"
"default hector",1769,"BC_emissions",2.137633742,"Tg"
"default hector",1770,"BC_emissions",2.139364739,"Tg"
"default hector",1771,"BC_emissions",2.100909701,"Tg"
"default hector",1772,"BC_emissions",2.087077541,"Tg"
"default hector",1773,"BC_emissions",2.092755603,"Tg"
"default hector",1774,"BC_emissions",2.154900741,"Tg"
"default hector",1775,"BC_emissions",2.148996597,"Tg"
"default hector",1776,"BC_emissions",2.112143132,"Tg"
"default hector",1777,"BC_emissions",2.170244784,"Tg"
"default hector",1778,"BC_emissions",2.198001402,"Tg"
"default hector",1779,"BC_emissions",2.159615777,"Tg"
"default hector",1780,"BC_emissions",2.189267588,"Tg"
"default hector",1781,"BC_emissions",2.1894412,"Tg"
"default hector",1782,"BC_emissions",2.160522701,"Tg"
"default hector",1783,"BC_emissions",2.15072559,"Tg"
"default hector",1784,"BC_emissions",2.140542212,"Tg"
"default hector",1785,"BC_emissions",2.165839691,"Tg"
"default hector",1786,"BC_emissions",2.158683485,"Tg"
"default hector",1787,"BC_emissions",2.185179294,"Tg"
"default hector",1788,"BC_emissions",2.255223484,"Tg"
"default hector",1789,"BC_emissions",2.207664632,"Tg"
"default hector",1790,"BC_emissions",2.216436996,"Tg"
"default hector",1791,"BC_emissions",2.172583556,"Tg"
"default hector",1792,"BC_emissions",2.161650793,"Tg"
"default hector",1793,"BC_emissions",2.153273834,"Tg"
"default hector",1794,"BC_emissions",2.213843116,"Tg"
"default hector",1795,"BC_emissions",2.202692273,"Tg"
"default hector",1796,"BC_emissions",2.153154616,"Tg"
"default hector",1797,"BC_emissions",2.213475036,"Tg"
"default hector",1798,"BC_emissions",2.234056283,"Tg"
"default hector",1799,"BC_emissions",2.207292165,"Tg"
"default hector",1800,"BC_emissions",2.215974055,"Tg"
"default hector",1801,"BC_emissions",2.21940169,"Tg"
"default hector",1802,"BC_emissions",2.202692661,"Tg"
"default hector",1803,"BC_emissions",2.180015828,"Tg"
"default hector",1804,"BC_emissions",2.197298087,"Tg"
"default hector",1805,"BC_emissions",2.215042398,"Tg"
"default hector",1806,"BC_emissions",2.222822585,"Tg"
"default hector",1807,"BC_emissions",2.239871982,"Tg"
"default hector",1808,"BC_emissions",2.311936484,"Tg"
"default hector",1809,"BC_emissions",2.26744264,"Tg"
"default hector",1810,"BC_emissions",2.279523716,"Tg"
"default hector",1811,"BC_emissions",2.252530236,"Tg"
"default hector",1812,"BC_emissions",2.228006935,"Tg"
"default hector",1813,"BC_emissions",2.231996859,"Tg"
"default hector",1814,"BC_emissions",2.291579691,"Tg"
"default hector",1815,"BC_emissions",2.287324694,"Tg"
"default hector",1816,"BC_emissions",2.261022,"Tg"
"default hector",1817,"BC_emissions",2.296180569,"Tg"
"default hector",1818,"BC_emissions",2.335490105,"Tg"
"default hector",1819,"BC_emissions",2.304129482,"Tg"
"default hector",1820,"BC_emissions",2.321048766,"Tg"
"default hector",1821,"BC_emissions",2.333483777,"Tg"
"default hector",1822,"BC_emissions",2.302515118,"Tg"
"default hector",1823,"BC_emissions",2.282471765,"Tg"
"default hector",1824,"BC_emissions",2.310947811,"Tg"
"default hector",1825,"BC_emissions",2.322703112,"Tg"
"default hector",1826,"BC_emissions",2.320968834,"Tg"
"default hector",1827,"BC_emissions",2.346337782,"Tg"
"default hector",1828,"BC_emissions",2.420774153,"Tg"
"default hector",1829,"BC_emissions",2.379376332,"Tg"
"default hector",1830,"BC_emissions",2.403159831,"Tg"
"default hector",1831,"BC_emissions",2.361347125,"Tg"
"default hector",1832,"BC_emissions",2.353863299,"Tg"
"default hector",1833,"BC_emissions",2.356959381,"Tg"
"default hector",1834,"BC_emissions",2.412445466,"Tg"
"default hector",1835,"BC_emissions",2.405456375,"Tg"
"default hector",1836,"BC_emissions",2.404187956,"Tg"
"default hector",1837,"BC_emissions",2.440210174,"Tg"
"default hector",1838,"BC_emissions",2.477311746,"Tg"
"default hector",1839,"BC_emissions",2.452638138,"Tg"
"default hector",1840,"BC_emissions",2.443877522,"Tg"
"default hector",1841,"BC_emissions",2.490489852,"Tg"
"default hector",1842,"BC_emissions",2.449170469,"Tg"
"default hector",1843,"BC_emissions",2.411136271,"Tg"
"default hector",1844,"BC_emissions",2.443825896,"Tg"
"default hector",1845,"BC_emissions",2.471371875,"Tg"
"default hector",1846,"BC_emissions",2.471198742,"Tg"
"default hector",1847,"BC_emissions",2.521115228,"Tg"
"default hector",1848,"BC_emissions",2.5773718,"Tg"
"default hector",1849,"BC_emissions",2.552394089,"Tg"
"default hector",1850,"BC_emissions",2.571124479,"Tg"
"default hector",1851,"BC_emissions",2.526692589,"Tg"
"default hector",1852,"BC_emissions",2.50763416,"Tg"
"default hector",1853,"BC_emissions",2.527811743,"Tg"
"default hector",1854,"BC_emissions",2.610048543,"Tg"
"default hector",1855,"BC_emissions",2.593264313,"Tg"
"default hector",1856,"BC_emissions",2.573430007,"Tg"
"default hector",1857,"BC_emissions",2.636452577,"Tg"
"default hector",1858,"BC_emissions",2.660122642,"Tg"
"default hector",1859,"BC_emissions",2.64820325,"Tg"
"default hector",1860,"BC_emissions",2.648404731,"Tg"
"default hector",1861,"BC_emissions",2.670268663,"Tg"
"default hector",1862,"BC_emissions",2.648564983,"Tg"
