"scenario","year","variable","hector","units"
"new",1745,"CO2_concentration",277.15,"ppmv CO2"
"new",1746,"CO2_concentration",277.187610857923,"ppmv CO2"
"new",1747,"CO2_concentration",277.221541776703,"ppmv CO2"
"new",1748,"CO2_concentration",277.253454901535,"ppmv CO2"
"new",1749,"CO2_concentration",277.283790436744,"ppmv CO2"
"new",1750,"CO2_concentration",277.31284313308,"ppmv CO2"
"new",1751,"CO2_concentration",277.340801495891,"ppmv CO2"
"new",1752,"CO2_concentration",277.380355934086,"ppmv CO2"
"new",1753,"CO2_concentration",277.427578847965,"ppmv CO2"
"new",1754,"CO2_concentration",277.475563845318,"ppmv CO2"
"new",1755,"CO2_concentration",277.521539833196,"ppmv CO2"
"new",1756,"CO2_concentration",277.563904837609,"ppmv CO2"
"new",1757,"CO2_concentration",277.588800549555,"ppmv CO2"
"new",1758,"CO2_concentration",277.610243693566,"ppmv CO2"
"new",1759,"CO2_concentration",277.639189303145,"ppmv CO2"
"new",1760,"CO2_concentration",277.674116976803,"ppmv CO2"
"new",1761,"CO2_concentration",277.711316583171,"ppmv CO2"
"new",1762,"CO2_concentration",277.74921791989,"ppmv CO2"
"new",1763,"CO2_concentration",277.727590321859,"ppmv CO2"
"new",1764,"CO2_concentration",277.684924988486,"ppmv CO2"
"new",1765,"CO2_concentration",277.673889104883,"ppmv CO2"
"new",1766,"CO2_concentration",277.694906557305,"ppmv CO2"
"new",1767,"CO2_concentration",277.711975090056,"ppmv CO2"
"new",1768,"CO2_concentration",277.717485575248,"ppmv CO2"
"new",1769,"CO2_concentration",277.735046162641,"ppmv CO2"
"new",1770,"CO2_concentration",277.770116254345,"ppmv CO2"
"new",1771,"CO2_concentration",277.806536330358,"ppmv CO2"
"new",1772,"CO2_concentration",277.844180780774,"ppmv CO2"
"new",1773,"CO2_concentration",277.887151035566,"ppmv CO2"
"new",1774,"CO2_concentration",277.933742028231,"ppmv CO2"
"new",1775,"CO2_concentration",277.980390017083,"ppmv CO2"
"new",1776,"CO2_concentration",278.026340019899,"ppmv CO2"
"new",1777,"CO2_concentration",278.071623878534,"ppmv CO2"
"new",1778,"CO2_concentration",278.115593962347,"ppmv CO2"
"new",1779,"CO2_concentration",278.158054173277,"ppmv CO2"
"new",1780,"CO2_concentration",278.199757335883,"ppmv CO2"
"new",1781,"CO2_concentration",278.240451974301,"ppmv CO2"
"new",1782,"CO2_concentration",278.280979625325,"ppmv CO2"
"new",1783,"CO2_concentration",278.321402987097,"ppmv CO2"
"new",1784,"CO2_concentration",278.244391463481,"ppmv CO2"
"new",1785,"CO2_concentration",277.982311216779,"ppmv CO2"
"new",1786,"CO2_concentration",277.757058098474,"ppmv CO2"
"new",1787,"CO2_concentration",277.668845495018,"ppmv CO2"
"new",1788,"CO2_concentration",277.686332490549,"ppmv CO2"
"new",1789,"CO2_concentration",277.766164642601,"ppmv CO2"
"new",1790,"CO2_concentration",277.876300027299,"ppmv CO2"
"new",1791,"CO2_concentration",277.997453743458,"ppmv CO2"
"new",1792,"CO2_concentration",278.120837310424,"ppmv CO2"
"new",1793,"CO2_concentration",278.242558595335,"ppmv CO2"
"new",1794,"CO2_concentration",278.361190619816,"ppmv CO2"
"new",1795,"CO2_concentration",278.475985080788,"ppmv CO2"
"new",1796,"CO2_concentration",278.588235569571,"ppmv CO2"
"new",1797,"CO2_concentration",278.691445822285,"ppmv CO2"
"new",1798,"CO2_concentration",278.782026341781,"ppmv CO2"
"new",1799,"CO2_concentration",278.872522489182,"ppmv CO2"
"new",1800,"CO2_concentration",278.97221930657,"ppmv CO2"
"new",1801,"CO2_concentration",279.080218030159,"ppmv CO2"
"new",1802,"CO2_concentration",279.193472233601,"ppmv CO2"
"new",1803,"CO2_concentration",279.310593752166,"ppmv CO2"
"new",1804,"CO2_concentration",279.429072971002,"ppmv CO2"
"new",1805,"CO2_concentration",279.549654872714,"ppmv CO2"
"new",1806,"CO2_concentration",279.671269182861,"ppmv CO2"
"new",1807,"CO2_concentration",279.788657964709,"ppmv CO2"
"new",1808,"CO2_concentration",279.903127982802,"ppmv CO2"
"new",1809,"CO2_concentration",280.014364923697,"ppmv CO2"
"new",1810,"CO2_concentration",279.90391105043,"ppmv CO2"
"new",1811,"CO2_concentration",279.70497565223,"ppmv CO2"
"new",1812,"CO2_concentration",279.618683750067,"ppmv CO2"
"new",1813,"CO2_concentration",279.667086098066,"ppmv CO2"
"new",1814,"CO2_concentration",279.798074642762,"ppmv CO2"
"new",1815,"CO2_concentration",279.967853804973,"ppmv CO2"
"new",1816,"CO2_concentration",279.939214131698,"ppmv CO2"
"new",1817,"CO2_concentration",279.696262737895,"ppmv CO2"
"new",1818,"CO2_concentration",279.541838705892,"ppmv CO2"
"new",1819,"CO2_concentration",279.58128318878,"ppmv CO2"
"new",1820,"CO2_concentration",279.751227776463,"ppmv CO2"
"new",1821,"CO2_concentration",279.984451752255,"ppmv CO2"
"new",1822,"CO2_concentration",280.234437084941,"ppmv CO2"
"new",1823,"CO2_concentration",280.482552680895,"ppmv CO2"
"new",1824,"CO2_concentration",280.704213386611,"ppmv CO2"
"new",1825,"CO2_concentration",280.918694795654,"ppmv CO2"
"new",1826,"CO2_concentration",281.14300337613,"ppmv CO2"
"new",1827,"CO2_concentration",281.375420834003,"ppmv CO2"
"new",1828,"CO2_concentration",281.611339878395,"ppmv CO2"
"new",1829,"CO2_concentration",281.84645305648,"ppmv CO2"
"new",1830,"CO2_concentration",282.08002141167,"ppmv CO2"
"new",1831,"CO2_concentration",282.314629544518,"ppmv CO2"
"new",1832,"CO2_concentration",282.400207114465,"ppmv CO2"
"new",1833,"CO2_concentration",282.421095507322,"ppmv CO2"
"new",1834,"CO2_concentration",282.517753476159,"ppmv CO2"
"new",1835,"CO2_concentration",282.703664238035,"ppmv CO2"
"new",1836,"CO2_concentration",282.836297575768,"ppmv CO2"
"new",1837,"CO2_concentration",282.949078549599,"ppmv CO2"
"new",1838,"CO2_concentration",283.126743531391,"ppmv CO2"
"new",1839,"CO2_concentration",283.371912136784,"ppmv CO2"
"new",1840,"CO2_concentration",283.655903556414,"ppmv CO2"
"new",1841,"CO2_concentration",283.95699399677,"ppmv CO2"
"new",1842,"CO2_concentration",284.263212556001,"ppmv CO2"
"new",1843,"CO2_concentration",284.569960180796,"ppmv CO2"
"new",1844,"CO2_concentration",284.875857780069,"ppmv CO2"
"new",1845,"CO2_concentration",285.181666572107,"ppmv CO2"
"new",1846,"CO2_concentration",285.487699184607,"ppmv CO2"
"new",1847,"CO2_concentration",285.782713248204,"ppmv CO2"
"new",1848,"CO2_concentration",286.074878262486,"ppmv CO2"
"new",1849,"CO2_concentration",286.373411450534,"ppmv CO2"
"new",1850,"CO2_concentration",286.681329615534,"ppmv CO2"
"new",1851,"CO2_concentration",286.990337724291,"ppmv CO2"
"new",1852,"CO2_concentration",287.320497576293,"ppmv CO2"
"new",1853,"CO2_concentration",287.653371733514,"ppmv CO2"
"new",1854,"CO2_concentration",287.964579441992,"ppmv CO2"
"new",1855,"CO2_concentration",288.255297283474,"ppmv CO2"
"new",1856,"CO2_concentration",288.533610026017,"ppmv CO2"
"new",1857,"CO2_concentration",288.820615992686,"ppmv CO2"
"new",1858,"CO2_concentration",289.085734738585,"ppmv CO2"
"new",1859,"CO2_concentration",289.345346523371,"ppmv CO2"
"new",1860,"CO2_concentration",289.614417702801,"ppmv CO2"
"new",1861,"CO2_concentration",289.851639419952,"ppmv CO2"
"new",1862,"CO2_concentration",290.081706302208,"ppmv CO2"
"new",1863,"CO2_concentration",290.252372333442,"ppmv CO2"
"new",1864,"CO2_concentration",290.40366900649,"ppmv CO2"
"new",1865,"CO2_concentration",290.57260277988,"ppmv CO2"
"new",1866,"CO2_concentration",290.760614550448,"ppmv CO2"
"new",1867,"CO2_concentration",290.964093834948,"ppmv CO2"
"new",1868,"CO2_concentration",291.166607554543,"ppmv CO2"
"new",1869,"CO2_concentration",291.362422899618,"ppmv CO2"
"new",1870,"CO2_concentration",291.562496721794,"ppmv CO2"
"new",1871,"CO2_concentration",291.788500688757,"ppmv CO2"
"new",1872,"CO2_concentration",292.012872087328,"ppmv CO2"
"new",1873,"CO2_concentration",292.265483606677,"ppmv CO2"
"new",1874,"CO2_concentration",292.48033826591,"ppmv CO2"
"new",1875,"CO2_concentration",292.701845554417,"ppmv CO2"
"new",1876,"CO2_concentration",292.929125400258,"ppmv CO2"
"new",1877,"CO2_concentration",293.150501865216,"ppmv CO2"
"new",1878,"CO2_concentration",293.353264524757,"ppmv CO2"
"new",1879,"CO2_concentration",293.563027312785,"ppmv CO2"
"new",1880,"CO2_concentration",293.768929097459,"ppmv CO2"
"new",1881,"CO2_concentration",293.988144610543,"ppmv CO2"
"new",1882,"CO2_concentration",294.19511037715,"ppmv CO2"
"new",1883,"CO2_concentration",294.421998184504,"ppmv CO2"
"new",1884,"CO2_concentration",294.602012586876,"ppmv CO2"
"new",1885,"CO2_concentration",294.66935716805,"ppmv CO2"
"new",1886,"CO2_concentration",294.7294481564,"ppmv CO2"
"new",1887,"CO2_concentration",294.864062881866,"ppmv CO2"
"new",1888,"CO2_concentration",295.072995016739,"ppmv CO2"
"new",1889,"CO2_concentration",295.304597903652,"ppmv CO2"
"new",1890,"CO2_concentration",295.56268955949,"ppmv CO2"
"new",1891,"CO2_concentration",295.859376983436,"ppmv CO2"
"new",1892,"CO2_concentration",296.163822386246,"ppmv CO2"
"new",1893,"CO2_concentration",296.454660652777,"ppmv CO2"
