; TODO add documenation
; commit 5933a4bd2787423
; date Wed Aug 20 17:58:44 2025
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1745,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,215.313403572326,0,0,0,0,9.1671567021969,0,0,0.007723273,0,0
1746,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,210.57315523832608,0,0,0,0,9.1671567021969,0,0,0.007723273,0,0
1747,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,215.26004345714517,0,0,0,0,9.1671567021969,0,0,0.007723273,0,0
1748,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,216.0516037435904,0,0,0,0,9.1671567021969,0,0,0.007723273,0,0
1749,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,217.10051969607917,0,0,0,0,9.1671567021969,0,0,0.007723273,0,0
1750,0.024856862,0,0,0,0,0,105.08773,0,4275.7449,216.40272140575735,0,0,0,0,9.270397049072232,0,0,0.007723273,0,0
1751,0.024856862,0,0,0,0,0,105.1072,0,4276.7685,216.80966208930784,0,0,0,0,9.274318391873598,-2.29457254754928e-4,0.185756746051751,0.007723273,0,0
1752,0.024856862,0,0,0,0,0,105.12502,0,4277.7049,218.8709173050089,0,0,0,0,9.272653078435368,-4.58914509509855e-4,0.185760471582431,0.007723273,0,0
1753,0.024856862,0,0,0,0,0,105.10373,0,4276.586,217.89935234348235,0,0,0,0,9.261435852037266,-6.88371764264782e-4,0.18576171690695,0.007723273,0,0
1754,0.024856862,0,0,0,0,0,105.07356,0,4274.9998,217.04178001966827,0,0,0,0,9.266012246096777,-9.1782901901971e-4,0.185762135640938,0.007723273,0,0
1755,0.024856862,0,0,0,0,0,105.09182,0,4275.9598,217.36804004788567,0,0,0,0,9.275955428691066,-0.00114728627377464,0.161490510042689,0.007723273,0,0
1756,0.024856862,0,0,0,0,0,105.08556,0,4275.6306,217.97686299622396,0,0,0,0,9.25497671888115,-0.00137674352852957,-0.064139903755506,0.007723273,0,0
1757,0.024856862,0,0,0,0,0,105.09137,0,4275.9361,217.00064010073163,0,0,0,0,9.259743510566148,-0.00160620078328449,0.0654814896339626,0.007723273,0,0
1758,0.024856862,0,0,0,0,0,105.09662,0,4276.2118,216.93143978724288,0,0,0,0,9.264450736660852,-0.00183565803803942,0.143706674085902,0.007723273,0,0
1759,0.024856862,0,0,0,0,0,105.08372,0,4275.5338,215.52115210148665,0,0,0,0,9.259850590535992,-0.00206511529279435,0.171560263737479,0.007723273,0,0
1760,0.024856862,0,0,0,0,0,105.04022,0,4273.2473,213.69634046122982,0,0,0,0,9.25918444324318,-0.00229457254754928,0.180988300871404,0.007723273,0,0
1761,0.024856862,0,0,0,0,0,105.09143,0,4275.9395,216.2778844322268,0,0,0,0,9.271157473064129,-0.0025240298023042,0.184158544358859,0.007723273,0,0
1762,0.024856862,0,0,0,0,0,105.08127,0,4275.4052,217.04553561308876,0,0,0,0,9.26840605354334,-0.00275348705705913,-0.719878886481706,0.007723273,0,0
1763,0.024856862,0,0,0,0,0,105.09332,0,4276.0386,218.17651052295122,0,0,0,0,9.282530685691691,-0.00298294431181406,-0.439960121291351,0.007723273,0,0
1764,0.024856862,0,0,0,0,0,105.1104,0,4276.9364,219.2737207883146,0,0,0,0,9.265096717548191,-0.00321240156656899,-0.0390473245778304,0.007723273,0,0
1765,0.024856862,0,0,0,0,0,105.07293,0,4274.9668,218.36123195545443,0,0,0,0,9.27168597922944,-0.00344185882132391,0.109581666097217,0.007723273,0,0
1766,0.024856862,0,0,0,0,0,105.07758,0,4275.2111,218.82908470478858,0,0,0,0,9.272711515128377,-0.00367131607607884,-0.178487526704193,0.007723273,0,0
1767,0.024856862,0,0,0,0,0,105.08566,0,4275.6359,219.09933925669776,0,0,0,0,9.249633423731474,-0.00390077333083377,-0.230039677074036,0.007723273,0,0
1768,0.024856862,0,0,0,0,0,105.04673,0,4273.5893,217.36694842216986,0,0,0,0,9.26350471986322,-0.0041302305855887,0.0295441238874522,0.007723273,0,0
1769,0.024856862,0,0,0,0,0,105.0767,0,4275.165,217.88873988257174,0,0,0,0,9.26289473768794,-0.00435968784034362,0.132534615874976,0.007723273,0,0
1770,0.024856862,0,0,0,0,0,105.04544,0,4273.5216,218.07451627539433,0,0,0,0,9.276169719934703,-0.00458914509509855,0.0363623484609721,0.007723273,0,0
1771,0.024856862,0,0,0,0,0,105.07227,0,4274.9318,218.663302241159,0,0,0,0,9.28257236811508,-0.00481860234985348,0.0888930362775059,0.007723273,0,0
1772,0.024856862,0,0,0,0,0,105.08887,0,4275.8046,220.5749219074747,0,0,0,0,9.28144488129094,-0.00504805960460841,0.151100521690917,0.007723273,0,0
1773,0.024856862,0,0,0,0,0,105.06952,0,4274.7874,219.18073025690907,0,0,0,0,9.25895175684878,-0.00527751685936334,0.174022556957829,0.007723273,0,0
1774,0.024856862,0,0,0,0,0,105.0265,0,4272.5262,217.12549790392703,0,0,0,0,9.265578330900592,-0.00550697411411826,0.181814435676583,0.007723273,0,0
1775,0.024856862,0,0,0,0,0,105.05246,0,4273.8905,218.29482643025796,0,0,0,0,9.278055914578609,-0.00573643136887319,0.184436007695887,0.007723273,0,0
1776,0.024856862,0,0,0,0,0,105.03944,0,4273.2061,218.9790633880261,0,0,0,0,9.264052868083247,-0.00596588862362812,0.185316815581564,0.007723273,0,0
1777,0.024856862,0,0,0,0,0,105.05273,0,4273.9048,218.78156235573152,0,0,0,0,9.252057247531576,-0.00619534587838305,0.185612685670437,0.007723273,0,0
1778,0.024856862,0,0,0,0,0,105.04465,0,4273.48,216.79537296684833,0,0,0,0,9.267915096367972,-0.00642480313313797,0.18571207513321,0.007723273,0,0
1779,0.024856862,0,0,0,0,0,105.03691,0,4273.0734,217.21273483685326,0,0,0,0,9.258768707397143,-0.0066542603878929,0.18574546502203,0.007723273,0,0
1780,0.024856862,0,0,0,0,0,104.98817,0,4270.511,217.05592956287776,0,0,0,0,9.261468208046582,-0.00688371764264783,0.185756681470787,0.007723273,0,0
1781,0.024856862,0,0,0,0,0,105.04236,0,4273.3596,218.03695802234,0,0,0,0,9.270495489127388,-0.00711317489740276,0.185760450572144,0.007723273,0,0
1782,0.024856862,0,0,0,0,0,105.03125,0,4272.7759,218.00121618741446,0,0,0,0,9.272438091787082,-0.00734263215215768,0.185761713038878,0.007723273,0,0
