"scenario","year","variable","value","units"
"old",1745,"RF_BC",0,"W/m2"
"old",1746,"RF_BC",0,"W/m2"
"old",1747,"RF_BC",0,"W/m2"
"old",1748,"RF_BC",0,"W/m2"
"old",1749,"RF_BC",0,"W/m2"
"old",1750,"RF_BC",0,"W/m2"
"old",1751,"RF_BC",-0.00158666187761919,"W/m2"
"old",1752,"RF_BC",-0.00213677609731344,"W/m2"
"old",1753,"RF_BC",-0.00164895130096201,"W/m2"
"old",1754,"RF_BC",0.000100841201394253,"W/m2"
"old",1755,"RF_BC",8.95618843098356e-05,"W/m2"
"old",1756,"RF_BC",-0.00184278507643923,"W/m2"
"old",1757,"RF_BC",0.00320290895708109,"W/m2"
"old",1758,"RF_BC",0.00145866949750662,"W/m2"
"old",1759,"RF_BC",0.00124511346906125,"W/m2"
"old",1760,"RF_BC",0.00191801559563301,"W/m2"
"old",1761,"RF_BC",0.00255363526577568,"W/m2"
"old",1762,"RF_BC",0.000254005168870197,"W/m2"
"old",1763,"RF_BC",0.000591306384991885,"W/m2"
"old",1764,"RF_BC",-0.00167458181790878,"W/m2"
"old",1765,"RF_BC",0.0016495308297638,"W/m2"
"old",1766,"RF_BC",0.000810369989726861,"W/m2"
"old",1767,"RF_BC",0.000938141965805939,"W/m2"
"old",1768,"RF_BC",0.00545141577936142,"W/m2"
"old",1769,"RF_BC",0.00254576430821632,"W/m2"
"old",1770,"RF_BC",0.00265631073420064,"W/m2"
"old",1771,"RF_BC",0.000200462017729691,"W/m2"
"old",1772,"RF_BC",-0.000682899233778372,"W/m2"
"old",1773,"RF_BC",-0.000320281967626512,"W/m2"
"old",1774,"RF_BC",0.00364848424038366,"W/m2"
"old",1775,"RF_BC",0.00327142874103786,"W/m2"
"old",1776,"RF_BC",0.000917861042410206,"W/m2"
"old",1777,"RF_BC",0.00462839871644152,"W/m2"
"old",1778,"RF_BC",0.00640101576480864,"W/m2"
"old",1779,"RF_BC",0.00394959998268343,"W/m2"
"old",1780,"RF_BC",0.00584324938871633,"W/m2"
"old",1781,"RF_BC",0.00585433676314429,"W/m2"
"old",1782,"RF_BC",0.00400751872534777,"W/m2"
"old",1783,"RF_BC",0.00338184717051773,"W/m2"
"old",1784,"RF_BC",0.00273150757169327,"W/m2"
"old",1785,"RF_BC",0.00434707691985506,"W/m2"
"old",1786,"RF_BC",0.00389006111276785,"W/m2"
"old",1787,"RF_BC",0.0055821592344513,"W/m2"
"old",1788,"RF_BC",0.0100553815430218,"W/m2"
"old",1789,"RF_BC",0.00701813724879047,"W/m2"
"old",1790,"RF_BC",0.00757836550203106,"W/m2"
"old",1791,"RF_BC",0.00477775943953163,"W/m2"
"old",1792,"RF_BC",0.00407956189402878,"W/m2"
"old",1793,"RF_BC",0.00354458533214019,"W/m2"
"old",1794,"RF_BC",0.00741271289863599,"W/m2"
"old",1795,"RF_BC",0.0067005881727776,"W/m2"
"old",1796,"RF_BC",0.00353697170729689,"W/m2"
"old",1797,"RF_BC",0.00738920628464262,"W/m2"
"old",1798,"RF_BC",0.00870358356347589,"W/m2"
"old",1799,"RF_BC",0.00699435043940841,"W/m2"
"old",1800,"RF_BC",0.00754880079756662,"W/m2"
"old",1801,"RF_BC",0.00776769934023125,"W/m2"
"old",1802,"RF_BC",0.00670061296651203,"W/m2"
"old",1803,"RF_BC",0.00525240557120943,"W/m2"
"old",1804,"RF_BC",0.00635610003814782,"W/m2"
"old",1805,"RF_BC",0.0074893025013392,"W/m2"
"old",1806,"RF_BC",0.00798616746944689,"W/m2"
"old",1807,"RF_BC",0.00907499072961407,"W/m2"
"old",1808,"RF_BC",0.0136772359686519,"W/m2"
"old",1809,"RF_BC",0.0108357318294267,"W/m2"
"old",1810,"RF_BC",0.0116072638605223,"W/m2"
"old",1811,"RF_BC",0.00988338304009104,"W/m2"
"old",1812,"RF_BC",0.00831725487215393,"W/m2"
"old",1813,"RF_BC",0.00857206286303189,"W/m2"
"old",1814,"RF_BC",0.0123771929386817,"W/m2"
"old",1815,"RF_BC",0.0121054566181282,"W/m2"
"old",1816,"RF_BC",0.0104256913771228,"W/m2"
"old",1817,"RF_BC",0.0126710181552167,"W/m2"
"old",1818,"RF_BC",0.0151814375259547,"W/m2"
"old",1819,"RF_BC",0.0131786584913158,"W/m2"
"old",1820,"RF_BC",0.0142591723223561,"W/m2"
"old",1821,"RF_BC",0.0150533077106247,"W/m2"
"old",1822,"RF_BC",0.0130755605322036,"W/m2"
"old",1823,"RF_BC",0.0117955346945546,"W/m2"
"old",1824,"RF_BC",0.0136140964480307,"W/m2"
"old",1825,"RF_BC",0.0143648235854252,"W/m2"
"old",1826,"RF_BC",0.0142540676219179,"W/m2"
"old",1827,"RF_BC",0.0158742012415607,"W/m2"
"old",1828,"RF_BC",0.0206279207364041,"W/m2"
"old",1829,"RF_BC",0.0179841375415191,"W/m2"
"old",1830,"RF_BC",0.0195030197633594,"W/m2"
"old",1831,"RF_BC",0.0168327408147775,"W/m2"
"old",1832,"RF_BC",0.0163548022600186,"W/m2"
"old",1833,"RF_BC",0.0165525269273772,"W/m2"
"old",1834,"RF_BC",0.0200960269825591,"W/m2"
"old",1835,"RF_BC",0.0196496836246846,"W/m2"
"old",1836,"RF_BC",0.0195686787842412,"W/m2"
"old",1837,"RF_BC",0.0218691606293584,"W/m2"
"old",1838,"RF_BC",0.024238573124206,"W/m2"
"old",1839,"RF_BC",0.0226628459771197,"W/m2"
"old",1840,"RF_BC",0.0221033679771711,"W/m2"
"old",1841,"RF_BC",0.0250801646928025,"W/m2"
"old",1842,"RF_BC",0.0224413907113818,"W/m2"
"old",1843,"RF_BC",0.0200124180484339,"W/m2"
"old",1844,"RF_BC",0.0221000710158205,"W/m2"
"old",1845,"RF_BC",0.0238592360042509,"W/m2"
"old",1846,"RF_BC",0.0238481792446709,"W/m2"
"old",1847,"RF_BC",0.0270359887890472,"W/m2"
"old",1848,"RF_BC",0.0306286943542457,"W/m2"
"old",1849,"RF_BC",0.0290335463003779,"W/m2"
"old",1850,"RF_BC",0.0302297225628477,"W/m2"
"old",1851,"RF_BC",0.027392175028628,"W/m2"
"old",1852,"RF_BC",0.0261750492372627,"W/m2"
"old",1853,"RF_BC",0.0274636473644884,"W/m2"
"old",1854,"RF_BC",0.0327155246301458,"W/m2"
"old",1855,"RF_BC",0.031643635721722,"W/m2"
"old",1856,"RF_BC",0.0303769602060673,"W/m2"
"old",1857,"RF_BC",0.0344017617867925,"W/m2"
"old",1858,"RF_BC",0.03591339979576,"W/m2"
"old",1859,"RF_BC",0.0351521933328833,"W/m2"
"old",1860,"RF_BC",0.0351650604632325,"W/m2"
"old",1861,"RF_BC",0.0365613536969391,"W/m2"
"old",1862,"RF_BC",0.0351752946527179,"W/m2"
"old",1863,"RF_BC",0.0339430308367989,"W/m2"
"old",1864,"RF_BC",0.0364008644806871,"W/m2"
"old",1865,"RF_BC",0.0397501798032634,"W/m2"
"old",1866,"RF_BC",0.0391177631655588,"W/m2"
"old",1867,"RF_BC",0.0423571642034216,"W/m2"
"old",1868,"RF_BC",0.0464519161480247,"W/m2"
"old",1869,"RF_BC",0.0438887007288567,"W/m2"
"old",1870,"RF_BC",0.0468389391355387,"W/m2"
"old",1871,"RF_BC",0.0447078077057448,"W/m2"
"old",1872,"RF_BC",0.0430130372599261,"W/m2"
"old",1873,"RF_BC",0.0475052245263962,"W/m2"
"old",1874,"RF_BC",0.0491928045852141,"W/m2"
"old",1875,"RF_BC",0.0469850779662665,"W/m2"
"old",1876,"RF_BC",0.0476004707927133,"W/m2"
"old",1877,"RF_BC",0.0500562472332975,"W/m2"
"old",1878,"RF_BC",0.0515542988648348,"W/m2"
"old",1879,"RF_BC",0.0531011943759935,"W/m2"
"old",1880,"RF_BC",0.0525847623954215,"W/m2"
"old",1881,"RF_BC",0.0552481733905414,"W/m2"
"old",1882,"RF_BC",0.0540647068086948,"W/m2"
"old",1883,"RF_BC",0.0523875555196045,"W/m2"
"old",1884,"RF_BC",0.0562240945943565,"W/m2"
"old",1885,"RF_BC",0.056830786234128,"W/m2"
"old",1886,"RF_BC",0.057628415667693,"W/m2"
"old",1887,"RF_BC",0.060466589632946,"W/m2"
"old",1888,"RF_BC",0.0655049846542356,"W/m2"
"old",1889,"RF_BC",0.0643033593327878,"W/m2"
"old",1890,"RF_BC",0.0677855846746385,"W/m2"
