"scenario","year","variable","hector","units"
"old",1745,"CO2_concentration",277.15,"ppmv CO2"
"old",1746,"CO2_concentration",277.186921051238,"ppmv CO2"
"old",1747,"CO2_concentration",277.220324776666,"ppmv CO2"
"old",1748,"CO2_concentration",277.251599276368,"ppmv CO2"
"old",1749,"CO2_concentration",277.281113854209,"ppmv CO2"
"old",1750,"CO2_concentration",277.309117699527,"ppmv CO2"
"old",1751,"CO2_concentration",277.335763879223,"ppmv CO2"
"old",1752,"CO2_concentration",277.362674174179,"ppmv CO2"
"old",1753,"CO2_concentration",277.389933629502,"ppmv CO2"
"old",1754,"CO2_concentration",277.416876558391,"ppmv CO2"
"old",1755,"CO2_concentration",277.442829607646,"ppmv CO2"
"old",1756,"CO2_concentration",277.466436534165,"ppmv CO2"
"old",1757,"CO2_concentration",277.466354702383,"ppmv CO2"
"old",1758,"CO2_concentration",277.471316176657,"ppmv CO2"
"old",1759,"CO2_concentration",277.48677957618,"ppmv CO2"
"old",1760,"CO2_concentration",277.5088593834,"ppmv CO2"
"old",1761,"CO2_concentration",277.533757648977,"ppmv CO2"
"old",1762,"CO2_concentration",277.560450491917,"ppmv CO2"
"old",1763,"CO2_concentration",277.495241580921,"ppmv CO2"
"old",1764,"CO2_concentration",277.429583458829,"ppmv CO2"
"old",1765,"CO2_concentration",277.408124690829,"ppmv CO2"
"old",1766,"CO2_concentration",277.417210836824,"ppmv CO2"
"old",1767,"CO2_concentration",277.409065123496,"ppmv CO2"
"old",1768,"CO2_concentration",277.390558597062,"ppmv CO2"
"old",1769,"CO2_concentration",277.394729075768,"ppmv CO2"
"old",1770,"CO2_concentration",277.418241395489,"ppmv CO2"
"old",1771,"CO2_concentration",277.438686732537,"ppmv CO2"
"old",1772,"CO2_concentration",277.464641766312,"ppmv CO2"
"old",1773,"CO2_concentration",277.499064668656,"ppmv CO2"
"old",1774,"CO2_concentration",277.538253547432,"ppmv CO2"
"old",1775,"CO2_concentration",277.578205211703,"ppmv CO2"
"old",1776,"CO2_concentration",277.619072886115,"ppmv CO2"
"old",1777,"CO2_concentration",277.660450666508,"ppmv CO2"
"old",1778,"CO2_concentration",277.70126603339,"ppmv CO2"
"old",1779,"CO2_concentration",277.74127320341,"ppmv CO2"
"old",1780,"CO2_concentration",277.781245457509,"ppmv CO2"
"old",1781,"CO2_concentration",277.820221640709,"ppmv CO2"
"old",1782,"CO2_concentration",277.859536779309,"ppmv CO2"
"old",1783,"CO2_concentration",277.898821775839,"ppmv CO2"
"old",1784,"CO2_concentration",277.755484026376,"ppmv CO2"
"old",1785,"CO2_concentration",277.367019772055,"ppmv CO2"
"old",1786,"CO2_concentration",277.11491168704,"ppmv CO2"
"old",1787,"CO2_concentration",277.009592481977,"ppmv CO2"
"old",1788,"CO2_concentration",277.003249221453,"ppmv CO2"
"old",1789,"CO2_concentration",277.051970304071,"ppmv CO2"
"old",1790,"CO2_concentration",277.126933030813,"ppmv CO2"
"old",1791,"CO2_concentration",277.211820766715,"ppmv CO2"
"old",1792,"CO2_concentration",277.300271066506,"ppmv CO2"
"old",1793,"CO2_concentration",277.389031108473,"ppmv CO2"
"old",1794,"CO2_concentration",277.476562715219,"ppmv CO2"
"old",1795,"CO2_concentration",277.561416196164,"ppmv CO2"
"old",1796,"CO2_concentration",277.645266277447,"ppmv CO2"
"old",1797,"CO2_concentration",277.716154315928,"ppmv CO2"
"old",1798,"CO2_concentration",277.77171350872,"ppmv CO2"
"old",1799,"CO2_concentration",277.831492297544,"ppmv CO2"
"old",1800,"CO2_concentration",277.902451661495,"ppmv CO2"
"old",1801,"CO2_concentration",277.980775766055,"ppmv CO2"
"old",1802,"CO2_concentration",278.063178296936,"ppmv CO2"
"old",1803,"CO2_concentration",278.148189801013,"ppmv CO2"
"old",1804,"CO2_concentration",278.233500386956,"ppmv CO2"
"old",1805,"CO2_concentration",278.319978360973,"ppmv CO2"
