scenario,year,variable,units,value,min,max,source
ssp119,2021-2040,global_tas,degC rel. 1995-2014,0.61,0.38,0.85,ar6
ssp119,2041-2060,global_tas,degC rel. 1995-2014,0.71,0.4,1.07,ar6
ssp119,2081-2100,global_tas,degC rel. 1995-2014,0.56,0.24,0.96,ar6
ssp126,2021-2040,global_tas,degC rel. 1995-2014,0.63,0.41,0.89,ar6
ssp126,2041-2060,global_tas,degC rel. 1995-2014,0.88,0.54,1.32,ar6
ssp126,2081-2100,global_tas,degC rel. 1995-2014,0.9,0.51,1.48,ar6
ssp245,2021-2040,global_tas,degC rel. 1995-2014,0.66,0.44,0.89,ar6
ssp245,2041-2060,global_tas,degC rel. 1995-2014,1.12,0.78,1.57,ar6
ssp245,2081-2100,global_tas,degC rel. 1995-2014,1.81,1.24,2.59,ar6
ssp370,2021-2040,global_tas,degC rel. 1995-2014,0.67,0.45,0.92,ar6
ssp370,2041-2060,global_tas,degC rel. 1995-2014,1.28,0.92,1.75,ar6
ssp370,2081-2100,global_tas,degC rel. 1995-2014,2.76,2,3.75,ar6
ssp585,2021-2040,global_tas,degC rel. 1995-2014,0.76,0.51,1.04,ar6
ssp585,2041-2060,global_tas,degC rel. 1995-2014,1.54,1.08,2.08,ar6
ssp585,2081-2100,global_tas,degC rel. 1995-2014,3.5,2.44,4.82,ar6
historical,2019,wmghg RF,W/m2,3.32,3.03,3.61,ar6
historical,2019,RF_CH4,W/m2,0.54,0.43,0.65,ar6
historical,2005-15,total aerosol RF,W/m2,-1.3,-2,-0.6,ar6
historical,1971-2018,OHC,ZJ,396,329,463,ar6
historical,1995-2014,hist. warming,degC,0.85,0.67,0.98,ar6
NA,NA,TCR,NA,1.8,1.2,3.4,ar6
NA,NA,TCRE,NA,1.65,1,2.3,ar6
