"scenario","year","variable","value","old","units","SE"
"BC_emissions",1750,"global_tas",0,0,"degC",0
"BC_emissions",1751,"global_tas",0.00069654058090104,0.000694841443843403,"degC",2.88706674063613e-12
"BC_emissions",1752,"global_tas",0.00179903382415425,0.00179408573529229,"degC",2.44835833857942e-11
"BC_emissions",1753,"global_tas",0.00256877287913475,0.00255926475058154,"degC",9.04045085843063e-11
"BC_emissions",1754,"global_tas",0.00264868801660441,0.00263341418575935,"degC",2.33289908683598e-10
"BC_emissions",1755,"global_tas",0.00123117269457773,0.00120952977149949,"degC",4.68416119370653e-10
"BC_emissions",1756,"global_tas",-0.0190271399177127,-0.0190553129135976,"degC",7.93717697134433e-10
"BC_emissions",1757,"global_tas",-0.0251173384504226,-0.0251532349124251,"degC",1.2885559843031e-09
"BC_emissions",1758,"global_tas",-0.0210620128261647,-0.0211057779738832,"degC",1.91538815482137e-09
"BC_emissions",1759,"global_tas",-0.0155025715164003,-0.0155544908464732,"degC",2.69561683521735e-09
"BC_emissions",1760,"global_tas",-0.0112361509945497,-0.0112966869209524,"degC",3.66459838543036e-09
"BC_emissions",1761,"global_tas",-0.00760267496886552,-0.00767237468206915,"degC",4.85805002066914e-09
"BC_emissions",1762,"global_tas",-0.082569501133253,-0.0826486819005202,"degC",6.26959390501249e-09
"BC_emissions",1763,"global_tas",-0.1212264223826,-0.121315676545785,"degC",7.96630564591728e-09
"BC_emissions",1764,"global_tas",-0.110230355065079,-0.11032973311764,"degC",9.87599733070268e-09
"BC_emissions",1765,"global_tas",-0.0885350453844077,-0.0886456093455643,"degC",1.22243895066335e-08
"BC_emissions",1766,"global_tas",-0.0978330776286129,-0.0979547390981719,"degC",1.4801513175255e-08
"BC_emissions",1767,"global_tas",-0.112884782730524,-0.113017857826879,"degC",1.77089812700893e-08
"BC_emissions",1768,"global_tas",-0.103116436602607,-0.103261966550738,"degC",2.11789658030103e-08
"BC_emissions",1769,"global_tas",-0.0848648231567665,-0.0850225370553197,"degC",2.48736737968603e-08
"BC_emissions",1770,"global_tas",-0.0798235795943853,-0.0799936362324847,"degC",2.89192601616637e-08
"BC_emissions",1771,"global_tas",-0.0722762935965593,-0.0724587639947616,"degC",3.32954462200888e-08
"BC_emissions",1772,"global_tas",-0.0603888164061223,-0.0605842660286079,"degC",3.82005549297682e-08
"BC_emissions",1773,"global_tas",-0.0493246594469788,-0.0495338416009105,"degC",4.37571735235067e-08
"BC_emissions",1774,"global_tas",-0.0414342329483534,-0.0416583812741425,"degC",5.0242471954015e-08
"BC_emissions",1775,"global_tas",-0.0345951483216435,-0.0348344034907659,"degC",5.72430359518102e-08
"BC_emissions",1776,"global_tas",-0.0287748235491316,-0.0290287977538759,"degC",6.45028966754847e-08
"BC_emissions",1777,"global_tas",-0.0243463139469214,-0.0246158747285731,"degC",7.26630150046868e-08
"BC_emissions",1778,"global_tas",-0.020987650214643,-0.0212733776302286,"degC",8.16401560171846e-08
"BC_emissions",1779,"global_tas",-0.0177311562617885,-0.0180327950046708,"degC",9.09859312076377e-08
"BC_emissions",1780,"global_tas",-0.0155639770680745,-0.0158712509418535,"degC",9.441723350718e-08
"BC_emissions",1781,"global_tas",-0.013171437657309,-0.0134870154528357,"degC",9.95893450295109e-08
"BC_emissions",1782,"global_tas",-0.0109298139372525,-0.0112564654494118,"degC",1.06701210395957e-07
"BC_emissions",1783,"global_tas",-0.163175039299613,-0.16351455662938,"degC",1.15272017211513e-07
"BC_emissions",1784,"global_tas",-0.45138702630486,-0.45174111057507,"degC",1.25375670410029e-07
"BC_emissions",1785,"global_tas",-0.491049918494975,-0.491419548136916,"degC",1.36626072201378e-07
"BC_emissions",1786,"global_tas",-0.428652461853508,-0.429037442654178,"degC",1.48210216884693e-07
"BC_emissions",1787,"global_tas",-0.351836714712775,-0.352238163620095,"degC",1.61161225188352e-07
"BC_emissions",1788,"global_tas",-0.284512139030463,-0.28493167767785,"degC",1.76012676651385e-07
"BC_emissions",1789,"global_tas",-0.231665427978628,-0.232103324307509,"degC",1.91753194847359e-07
"BC_emissions",1790,"global_tas",-0.192119381085247,-0.192575677918543,"degC",2.08206800076018e-07
"BC_emissions",1791,"global_tas",-0.161729577742434,-0.162206433609847,"degC",2.27391518286179e-07
"BC_emissions",1792,"global_tas",-0.13807870636833,-0.138581415847112,"degC",2.52716820056828e-07
"BC_emissions",1793,"global_tas",-0.119651377713747,-0.120181248761861,"degC",2.80763327629561e-07
"BC_emissions",1794,"global_tas",-0.10601160607152,-0.106571851300899,"degC",3.13874717042087e-07
"BC_emissions",1795,"global_tas",-0.0942243046469645,-0.0948157670568016,"degC",3.49827782250255e-07
"BC_emissions",1796,"global_tas",-0.0951292818130059,-0.0957537520811637,"degC",3.89963115813131e-07
"BC_emissions",1797,"global_tas",-0.104547027627494,-0.105205357044408,"degC",4.33397621174294e-07
"BC_emissions",1798,"global_tas",-0.102684997160513,-0.103377444326396,"degC",4.7948307753963e-07
"BC_emissions",1799,"global_tas",-0.0922849704623015,-0.0930104814991091,"degC",5.26366264529594e-07
"BC_emissions",1800,"global_tas",-0.0813209019793478,-0.0820799748053243,"degC",5.76191555136048e-07
"BC_emissions",1801,"global_tas",-0.0713738831778402,-0.0721698800092879,"degC",6.3361095567486e-07
"BC_emissions",1802,"global_tas",-0.0632580818973108,-0.0640960030614908,"degC",7.0211187738085e-07
"BC_emissions",1803,"global_tas",-0.0560698717578929,-0.0569505194725196,"degC",7.75540397277187e-07
"BC_emissions",1804,"global_tas",-0.0495087176304951,-0.0504350385546265,"degC",8.5807045448366e-07
"BC_emissions",1805,"global_tas",-0.0446733357126998,-0.0456466852342825,"degC",9.47409291165296e-07
"BC_emissions",1806,"global_tas",-0.0400780436205353,-0.0410993286648965,"degC",1.0430231418359e-06
"BC_emissions",1807,"global_tas",-0.0361550329430104,-0.037225085296218,"degC",1.14501203860506e-06
"BC_emissions",1808,"global_tas",-0.033443523209843,-0.0345649904643308,"degC",1.2576888028885e-06
"BC_emissions",1809,"global_tas",-0.336338209244809,-0.337511043672754,"degC",1.37554059537365e-06
"BC_emissions",1810,"global_tas",-0.498411573267607,-0.499638100747347,"degC",1.50436965855845e-06
"BC_emissions",1811,"global_tas",-0.464316380927758,-0.465599156006897,"degC",1.64551190366075e-06
"BC_emissions",1812,"global_tas",-0.379568732222462,-0.380911373206139,"degC",1.80268481104834e-06
